245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Sugarcane tasseling under artificial photoperiod conditions as affected by nitrogen rate and temperature"||"by Christopher Michael LaBorde."|"LaBorde, Christopher Michael,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11132007-101101/"
"Culture-independent identification of gut bacteria in fourth-instar red imported fire ant, Solenopsis invicta Buren, larvae"||"by Albert Hon-Yu Lee."|"Lee, Albert Hon-Yu,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10162007-112305/"
"Effect of hole configurations on film cooling from cylindrical inclined holes for the application to gas turbine blades"||"by Yiping Lu."|"Lu, Yiping,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08222007-143725/"
"Detection of West Nile virus activity in male and female mosquitoes, and evaluation of host-utilization patterns of mosquitoes, in East Baton Rouge Parish, Louisiana"||"by Andrew J. Mackay."|"Mackay, Andrew J.,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11162007-084516/"
"Using power spectra to look for anisotropies in ultra-high energy cosmic ray distributions"||"by Megan McEwen."|"McEwen, Megan."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08302007-084124/"
"An examination of the expectations and experiences of beginning teachers of the gifted"||"by Kimberly Nicole McGlonn."|"McGlonn, Kimberly Nicole."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11132007-103408/"
"Relationship between problem behaviors, function, and adaptive skills in individuals with intellectual disabilities"||"by Noha Farrah Minshawi."|"Minshawi, Noha Farrah."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08242007-130451/"
"Histone-like protein from Mycobacterium smegmatis has two DNA binding domains and is localized to the nucleoid in vivo"||"by Anirban Mukherjee."|"Mukherjee, Anirban,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11142007-122230/"
"Characterization of advanced composites- a nondestructive approach"||"by Phani Surya Kiran Mylavarapu."|"Mylavarapu, Phani Surya Kiran,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-09042007-150437/"
"Multiplicative renormalization method for orthogonal polynomials"||"by Namli Suat."|"Namli, Suat,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11162007-115010/"
"Wood liquefaction in the presence of phenol with a weak acid catalyst and its potential for novolac type wood adhesives"||"by Hui Pan."|"Pan, Hui,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-07162007-132432/"
"Analysis of the association between socio-demographic variables, juvenile offending, and formal vs. informal juvenile justice system handling in a non-urban sample"||"by Stephen W. Phillippi, Jr."|"Phillippi, Stephen W.,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11122007-231956/"
"The influence of morningglory (Ipomoea lacunosa), hemp sesbania (Sesbania exaltata), and johnsongrass (Sorghum halepense) on reproduction of Rotylenchulus reniformis on cotton Gossypium hirsutum L. and soybean Glycine max. (L.) merrill"||"by Michael J. Pontif."|"Pontif, Michael J.,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11122007-192344/"
"Metabolism and gene expression during diapause in athropods"||"by Julie Annette Reynolds."|"Reynolds, Julie Annette."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10262007-115116/"
"Individual and organizational differences in organizational commitment and escalation of commitment"||"by Molly J. Russ."|"Russ, Molly J."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11082007-204227/"
"French influence overseas"|"the rise and fall of colonial Indochina /"|"by Julia Alayne Grenier Burlette."|"Burlette, Julia Alayne Grenier."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10262007-082622/"
"Images in fashion advertisements"|"their role in involvement and the consumer communications process /"|"by Monica Santaella."|"Santaella, Monica."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11152007-194712/"
"Depletion of 32-kbp circular plasmids from Borrelia burgdorferi"||"by Amanda Paige DeRouen Polito."|"DeRouen Polito, Amanda Paige,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-09052007-124840/"
"""But seriously, folks..."""|"understanding the political effects of late night television comedy /"|"by Danielle Lynn Sarver."|"Sarver, Danielle Lynn."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10292007-182007/"
"Etiology of traumatic brain injury"|"impact on psychological functioning /"|"by Jeffrey J. Schneider."|"Schneider, Jeffrey J."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08212007-141121/"
"Chiral analyses using molecualr micelles and multiple regression modeling in chromatographic and spectroscopic methods"||"by Alicia Williams Snearl."|"Snearl, Alicia Williams."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10182007-121416/"
"An investigation of maternal psychopathology as a moderator of child response following Hurricane Katrina"||"by Ann Wingate Spell."|"Spell, Ann Wingate."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08042007-123938/"
"A comparison of channel morphology, marsh elevation, and biological processes in natural and dredged tidal salt marshes in Louisiana"||"by Jennifer Spicer."|"Spicer, Jennifer."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10012007-155906/"
"P-glycoprotein and membrane permeability as determinants of xenobiotic bioavailability and bioaccumulation"||"by Xiaobing Tan."|"Tan, Xiaobing."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11152007-101053/"
"Alphabetic and phonemic awareness in toddlers"||"by Pamela A. Terrell."|"Terrell, Pamela A."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-11072007-162300/"
"Detection of the bloodmeal origin of mosquitoes collected at alligator farms, and West Nile Virus activity in mosquitoes collected from alligator farms, sentinel chicken surveillance sites, and larval habitats"||"by Isik Unlu."|"Unlu, Isik,"|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-10162007-221252/"
"Modeling spatial and temporal variations of surface moisture content and groundwater table fluctuations on a fine-grained beach, Padre Island, Texas"||"by Yuanda Zhu."|"Zhu, Yuanda."|"2007]"|"2007]"|"http://etd.lsu.edu/docs/available/etd-08282007-114820/"
"Getting warm(er) an investigation into linguistic relativity and its significance in the translation of the English lexical term ""warm"" into French"||"by Elizabeth Neuerburg Addison."|"Addison, Elizabeth Neuerburg."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-122558/"
"Quantification of tars and particulates from a pilot scale, downdraft biomass gasifier"||"by Christopher Osita Akudo."|"Akudo, Christopher Osita."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-192154/"
"The effects of food deprivation on caffeine and food reinforcement in females"||"by Lauren Baillie."|"Baillie, Lauren,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-135815/"
"Environmental influences on adherence to self-management behaviors and glycemic control in African American patients with type 2 diabetes mellitus"||"by Brooke L. Barbera."|"Barbera, Brooke L."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03282008-140240/"
"Enhancing security in quantum cryptography"||"by Partha Basuchowdhuri."|"Basuchowdhuri, Partha."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-154729/"
"The effects of community violence exposure on children affected by Hurricane Katrina"||"by Audrey Baumeister."|"Baumeister, Audrey."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04062008-202353/"
"Evidence of pulmonary disease in the Poole-Rose Ossuary population"|"an analysis of the ribs /"|"by Lisa Elaine Baumer."|"Baumer, Lisa Elaine,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04042008-085846/"
"Foreign news and public opinion"|"attribute agenda-setting theory revisited /"|"by Asya A. Besova."|"Besova, Asya A.,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04012008-105506/"
"Titian, the Pesaro, and the Frari"|"different strokes for different folks /"|"by Carl Edward Blyskal."|"Blyskal, Carl Edward."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01312008-125913/"
"Comorbid psychological disorder in individuals with intellectual disabilities and autism spectrum disorders"||"by Jessica Ann Boisjoli."|"Boisjoli, Jessica Ann,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-110918/"
"Can we estimate stature from the scapula? A test considering sex and ancestry"||"by Rachel Marie Burke."|"Burke, Rachel Marie."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-155457/"
"Examining the effects of non-intensive therapy on word retrieval, apraxic errors and quality of life following intensive therapy"||"by Erin Lofton Cain."|"Cain, Erin Lofton."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04032008-161153/"
"The Madden-Julian Oscillation and tropical cyclone frequency variability"||"by Stephen Caparotta."|"Caparotta, Stephen."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04062008-163931/"
"Postcolonial writing in Louisiana"|"surpassing the role of French traditionalism in Alfred Mercier's L'habitation Saint-Ybars /"|"by Mary F. Cashell."|"Cashell, Mary F."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-114436/"
"An exploratory study of social work supervisors' supervisory styles, motivations, and evaluative processes"||"by Michelle Elise Chevallier."|"Chevallier, Michelle Elise,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-173825/"
"A capacity-approaching coded modulation scheme for non-coherent fading channels"||"by Youngjeon Cho."|"Cho, Youngjeon,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-134508/"
"Enriching the state of Louisiana secondary English language arts comprehensive curriculum"||"by Adriane Renee Comeaux."|"Comeaux, Adriane Renee."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-104150/"
"Entertainment media and ""backstage"" event framing"|"how 24 defines torture /"|"by Skye Chance Cooley."|"Cooley, Skye Chance"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04012008-134143/"
"A trinity of beliefs and a unity of the sacred"|"modern Vodou practices in New Orleans /"|"by Elizabeth Thomas Crocker."|"Crocker, Elizabeth Thomas."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-014603/"
"A multi-scale assessment of den selection of Louisiana black bears (Ursus americanus luteolus) in northern and central Louisiana"||"by Annelie Crook."|"Crook, Annelie,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-095202/"
"Factors potentially influencing the abundance of mosquitoes in Louisiana rice fields"||"by Ana María de Sánchez."|"Cuadra, Ana María Sánchez de,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01232008-225658/"
"Euskera as a defining feature of Euskadi"||"by Whitney Blake Dennis."|"Dennis, Whitney Blake."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-144807/"
"Strategic analysis of Ghana's wood export sector"||"by Odoom Domson."|"Domson, Odoom,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-143047/"
"Vocal fold vibratory characteristics pre and post phonosurgery investigated by stroboscopy"||"by Brittany Anne Durand."|"Durand, Brittany Anne."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-125136/"
"Long-term subsidence and compaction rates"|"a new model for the Michoud area, south Louisiana /"|"by Clint H. Edrington."|"Edrington, Clint H."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-135243/"
"Estimating the economic impacts of hurricane damage on coastal fishing infrastructure"||"by Tanza Erlambang."|"Erlambang, Tanza,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01102008-150648/"
"Model-based framework for alloy electrodeposition processes"||"by Miguel E. Estrada."|"Estrada, Miguel E.,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01142008-171414/"
"Denitrification enzyme activity as an indicator of nitrate loading in a wetland receiving diverted Mississippi River water"||"by Lisa Michelle Gardner."|"Gardner, Lisa Michelle."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-153039/"
"Daily record"||"by Jacques Pierre Gasquet."|"Gasquet, Jacques Pierre,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04032008-214416/"
"Succession of Coleoptera on freshly killed loblolly pine (Pinus taeda L.) and southern red oak (Quercus falcata Michaux) in Louisiana"||"by Stephanie Gil."|"Gil, Stephanie."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-233609/"
"Hierarchical linear modeling against the ""Gold Standard"" of visual analysis in single-subject design"||"by Elizabeth S. Godbold."|"Godbold, Elizabeth S."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-02242008-205541/"
"Examining the effects of non-intensive therapy on word retrieval, speech intelligibility and quality of life following intensive therapy"||"by Hillary Leigh Goodwin."|"Goodwin, Hillary Leigh."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04022008-150434/"
"Characterization of the lucinid bivalve-bacteria symbiotic system"|"the significance of the geochemical habitat on bacterial symbiont diversity and phylogeny /"|"by Angela Marissa Green-Garcia."|"Green-Garcia, Angela Marissa,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04042008-093335/"
"Recommended practice in preschool instruction"|"increasing child attention during whole group /"|"by Mauree Elizabeth Harris."|"Harris, Mauree Elizabeth."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-102009/"
"The children's coping behavior questionnaire"|"development and validation /"|"by Brittany C. Hernandez."|"Hernandez, Brittany C."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04052008-195424/"
"Let the church rise"|"the acceptance of government funding by the religious community in New Orleans post-Katrina /"|"by Jaime Collins Hilton."|"Hilton, Jaime Collins."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-123135/"
"The Mise en Scène of Rossini's Le Siège de Corinthe and the conventions of staging at the Paris Opéra in the 1820s"||"by Tina Huettenrauch."|"Huettenrauch, Tina."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04042008-102844/"
"The effectiveness of contextualization on second language acquisition using the situational discourse semantic model"||"by Alice Marie Johnson."|"Johnson, Alice Marie."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-152426/"
"Airlift assisted wastewater treatment"||"by Brian Sidney Johnson."|"Johnson, Brian Sidney,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-123312/"
"A study of elementary school children at risk for truancy"|"exploring gender differences, services offered, and other factors related to truancy /"|"by Alice Joseph."|"Joseph, Alice,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-080231/"
"Effect of hydrated lime on the laboratory performance of superpave mixtures"||"by Md Sharear Kabir."|"Kabir, Md Sharear,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-035013/"
"Ethanol production using continuous multi-staged microbe bioreactors"|"a laboratory study /"|"by William Bruce King."|"King, William Bruce,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01142008-150207/"
"Roe v. Wade and its progency"|"the impact of state legislative and judicial actions on abortion rates in five states /"|"by Maria Klimash."|"Klimash, Maria."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04032008-144658/"
"Conversations on citizenship"|"young people's perceptions and performances of democratic citizenship /"|"by Katherine Rhodes Knobloch."|"Knobloch, Katherine Rhodes,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-085356/"
"A performer's guide to Libby Larsen's"|"Try Me, Good King : Last Words of the Wives of Henry VIII /"|"by Angela R. Day."|"Day, Angela R."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04042008-145222/"
"Isang Yun and his selected cello works"||"by Jee Yeoun Ko."|"Ko, Jee Yeoun,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04012008-223515/"
"Dactyls reveal evolutionary patterns in decapod crustaceans"||"by Jeffrey G. Agnew."|"Agnew, Jeffrey G."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-184811/"
"Disciplinary differences in preferred research methods"|"a comparison of groups in the Biglan classification scheme /"|"by Mark A. Alise."|"Alise, Mark A."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-02222008-085519/"
"Exercise and peripheral vascular function in health and disease"||"by Arturo Arce."|"Arce, Arturo,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01222008-070558/"
"Elements of mythmaking in witness accounts of colonial piracy"||"by Plamen Ivanov Arnaudov."|"Arnaudov, Plamen Ivanov,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-154852/"
"Changes in body image and body weight and shape goals associated with weight loss and maintenance in overweight/obese adults diagnosed with type 2 diabetes mellitus"||"by Amy Rzeznikiewicz Bachand."|"Bachand, Amy Rzeznikiewicz."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-180332/"
"Enriching or depleting"|"an investigation of communication and behavior within the family business /"|"by Joyceia Marie Banner."|"Banner, Joyceia Marie."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03212008-114613/"
"Brief alcohol interventions for college drinkers"|"how brief is brief? /"|"by Magdalena Kulesza."|"Kulesza, Magdalena."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03162008-175714/"
"The competitiveness of Roundup Ready soybean and Roundup Ready cotton as weeds"||"by Donna R. Lee."|"Lee, Donna R."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-101701/"
"Moderately-rapid assessment of alkaline desiccation environmental systems"||"by David A. Bates."|"Bates, David A."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03312008-000156/"
"Baby signs"|"caregiver perceptions of their use and benefit to children /"|"by Leah Catherine Legere."|"Legere, Leah Catherine."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-195240/"
"Comprehensive planning in Louisiana"||"by Lynn A. Maloney-Mújica."|"Maloney-Mújica, Lynn A."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01182008-140636/"
"Cause of Hispanic homicides in major metropolitan areas"||"by Michael Gregory Bisciglia."|"Bisciglia, Michael Gregory."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01112008-180517/"
"Survival, growth, and behavior of Helicoverpa zea (Boddie) and Heliothis virescens (F.) (Lepidoptera: Noctuidae) on genetically engineered cotton expressing the Vip3A insecticidal protein"||"by Padma Latha Bommireddy."|"Bommireddy, Padma Latha."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03272008-094704/"
"Cluster kinetics modeling of glassforming materials"||"by Lisa Ann Brenskelle."|"Brenskelle, Lisa Ann."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-132025/"
"Heterogeneous catalyzed macromolecular hydrogenations in oscillating systems"||"by Alan Bussard."|"Bussard, Alan,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03052008-101313/"
"New firm emergence"|"the significance of social embeddedness and resource bootstrapping to the process of nascent firm emergence /"|"by Warren Byabashaija."|"Byabashaija, Warren."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01032008-192224/"
"A novel automated approach of multi-modality retinal image registration and fusion"||"by Hua Cao."|"Cao, Hua, 1978-"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-02262008-155553/"
"Evolutionary history and hybridization in Passerina buntings"||"by Matthew D. Carling."|"Carling, Matthew D.,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04042008-105327/"
"The gallant six hundred"|"performing the Light Brigade into a heroic icon /"|"by Elizabeth Carrick Cawns."|"Cawns, Elizabeth Carrick."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-184524/"
"Ancient Greek and ancient Hebrew agrarianism"|"an ecocritical study of Hesiod's Works and Days and the Book of Proverbs /"|"by Ernest Nathan Manning."|"Manning, Ernest Nathan,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01172008-144900/"
"A comparison of the moral development of advertising and journalism students"||"by Stephanie Marino."|"Marino, Stephanie."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-085237/"
"Feasibility testing for SalSA neutrino astrophysics project"||"by Jarrod Marsh."|"Marsh, Jarrod,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01092008-082825/"
"Seeing (RED)"|"a qualitative analysis of the product (RED) campaign and integration of public relations and marketing theory /"|"by Amy Elizabeth Martin."|"Martin, Amy Elizabeth."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04162008-141353/"
"Increasing the communicative behaviors of children with low levels of communicative initiations in an inclusive preschool classroom"||"by Susanna Melikyan."|"Melikyan, Susanna."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-154511/"
"The synthesis of water soluble N-acyl chitosan derivatives for characterization as antibacterial agents"||"by Lakia M. Champagne."|"Champagne, Lakia M."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-12052007-130029/"
"Two post-harvest treatments for the reduction of Vibrio vulnificus and Vibrio parahaemolyticus in eastern oysters (Crassostrea virginica)"||"by Kevin Patrick Melody."|"Melody, Kevin Patrick."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03242008-172028/"
"Assessing a hydrothermal liquefaction process using biomass feedstocks"||"by Jason S. Midgett."|"Midgett, Jason S.,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01162008-150910/"
"The effectiveness of the introduction and amendment of traffic laws on Louisiana road crashes"||"by Vamshi Krishna Mudumba."|"Mudumba, Vamshi Krishna,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01102008-165432/"
"Pileated woodpeckers (Dryocopus pileatus) and saproxylic beetles in partial cut and uncut bottomland hardwood forests"||"by Patricia J. Newell."|"Newell, Patricia J."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04102008-134537/"
"Effects of handedness on the skull and shoulder bones"||"by Michelle Lynn Osborn."|"Osborn, Michelle Lynn."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04022008-124945/"
"Dosimetry intercomparison using a 35-keV x-ray synchrotron beam"||"by Scott Oves."|"Oves, Scott."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01182008-133454/"
"Is oxidative stress the cause of death when recalcitrant Spartina alterniflora seeds are dried?"||"by James Hammond Chappell, Jr."|"Chappell, James Hammond,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-102559/"
"Effects of burning on Henslow's Sparrow (Ammodramus henslowii) density and habitat quality in Louisiana"||"by Laura M. Palasz."|"Palasz, Laura M."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-145552/"
"Teachers' perspectives on the unintended consequences of high stakes testing"||"by David Christopher Charles."|"Charles, David Christopher,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-223420/"
"Essay 1: Does ownership structure matter? Essay 2: Asset sale in mutual fund industry"||"by Fan Chen."|"Chen, Fan."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-02212008-155401/"
"Non-industrial private forest landowners and US home center retailers' attitudes and perceptions of forest certification"||"by Polwattage Kushil Priyan Perera."|"Perera, Polwattage Kushil Priyan,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03072008-104040/"
"An overview of the wood product import sector in the United States with an emphasis on opportunities for Sri Lankan exporters"||"by Rangika Thilaksri Perera."|"Perera, Rangika Thilaksri,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-204445/"
"Detection of rare TP53 and Kristen-Ras mutational frequencies in human sperm"||"by Derek N. Cole."|"Cole, Derek N.,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-090416/"
"The detection of malingered mental retardation in high- and low-cognitive ability individuals"||"by Daniel Anthony Proto."|"Proto, Daniel Anthony,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-154108/"
"Degradation and water quality dynamics of sugarcane residue in South Louisiana"||"by José Roberto Deras Cortez."|"Deras Cortez, José Roberto."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01182008-152053/"
"Micropropagation through somatic embryogenesis and cotyledonary nodal culture in sea oats (Uniola paniculata L.)"||"by Diptimayee Sahoo."|"Sahoo, Diptimayee."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01222008-154806/"
"Randomized controlled trial evaluating adeno-MOMP and MOMP DNA vaccines against chlamydophila psittaci challenge in cockatiels (Nymphicus hollandicus)"||"by David Sanchez-Migallon Guzman."|"Sanchez-Migallon Guzman, David,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-083508/"
"Visual language representation for use case evolution and traceability"||"by Coretta Willis Douglas."|"Douglas, Coretta Willis."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03072008-165726/"
"Towards an extended microscopic theory for upper-fp-shell nuclei"||"by Kalin Drumev."|"Drumev, Kalin,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-095727/"
"Matrix-assisted laser desorption/ionization mass spectrometry for the analysis of collected bioaerosols"||"by Alton John Dugas, Jr."|"Dugas, Alton John,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-12132007-002831/"
"Syntheses of trimethylamine- and phosphonate- substituted carboranylporphyrins for application in boron neutron cancer therapy"||"by Michael William Easson."|"Easson, Michael William."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-140338/"
"One rhizome, two unstoppable blossoms"|"environmental communication and ecological rhetoric /"|"by Kevin Ells."|"Ells, Kevin."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01222008-100811/"
"""I will learn you something if you listen to this song"""|"southern women writers' representations of music in fiction /"|"by Courtney George."|"George, Courtney."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03052008-075120/"
"Academic impropriety"|"violation of normative teaching behaviors as identified by nursing educators /"|"by Melanie Hilburn Green."|"Green, Melanie Hilburn."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-095304/"
"Electrochemical fabrication of AuCo nanostructures"||"by Maoshi Guan."|"Guan, Maoshi,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01092008-225444/"
"A multilevel discrete - time hazard model of retention data in higher education"||"by Christopher W. Guillory."|"Guillory, Christopher W."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04112008-082433/"
"Vassilis Alexakis"|"exorciser l'exil déplacements autofictionnels, linguistiques et spatiaux /"|"by Marianne Halloran."|"Halloran, Marianne."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03072008-123039/"
"Searching for gravitational waves from binary systems in non-stationary data"||"by Chad Hanna."|"Hanna, Chad."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-03272008-092832/"
"Swamp ecology in a dynamic coastal landscape"|"an investigation through field study and simulation modeling /"|"by Susanne S. Hoeppner."|"Hoeppner, Susanne S."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-01222008-160333/"
"Replication of metal-based microscale structures by compression molding"|"a combined experimental and finite element analysis study /"|"by Jing Jiang."|"Jiang, Jing."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04092008-110148/"
"Neuropsychological performance and dementia symptoms in a HIV positive population"||"by Kathleen E. Kendra."|"Kendra, Kathleen E."|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04082008-222926/"
"The effects of children's perceptions of attachment security and emotion regulation on school disengagement among elementary school truants"||"by Heeyoung Kim."|"Kim, Heeyoung,"|"2008]"|"2008]"|"http://etd.lsu.edu/docs/available/etd-04072008-200806/"
